row_id,race_id,horse_id,horse_name,frame_number,horse_number,current_jockey,assigned_weight,current_odds,current_popularity,target_track,target_race_date,target_race_number,target_surface,target_distance,target_weather,target_track_condition,target_conditions_captured_at,horse_country,run_index,date,race_name,course,distance,position,time,weight,jockey,pace,last_3f,track_condition,weather,passing_order,odds,popularity
row_2c0680032694fe7f3117,20260628_函館_11,pw01dud002022104772/3F,マジックサンズ,3,4,横山 和生,58,8.5,6,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,2,2026年3月1日,中山記念,中山,1800,6,105.6,56,横山 和生,,34.1,良,,7,,6
row_2896698e9571ee46d7e9,20260628_函館_11,pw01dud002022104772/3F,マジックサンズ,3,4,横山 和生,58,8.5,6,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,3,2026年2月10日,東京新聞杯,東京,1600,12,92.9,57,武 豊,,33,良,,16,,7
row_d91850154d8898362fd9,20260628_函館_11,pw01dud002022104772/3F,マジックサンズ,3,4,横山 和生,58,8.5,6,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,4,2025年11月23日,マイルCS,京都,1600,8,92.1,57,武 豊,,32.8,良,,15,,9
row_8b940a3f068fc81fbd21,20260628_函館_11,pw01dud002022104772/3F,マジックサンズ,3,4,横山 和生,58,8.5,6,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,5,2025年10月18日,富士S,東京,1600,10,92.9,,武 豊,,36,良,,,,2
row_a95e4bff8b0fd053b1e4,20260628_函館_11,pw01dud002022104813/83,ジュタ,6,11,坂井 瑠星,56,8.4,5,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,1,2026年5月9日,エプソムC,東京,1800,8,105.8,57,佐々木 大輔,,33.1,良,,13,,9
row_7bbd507122549edc1ca0,20260628_函館_11,pw01dud002022104813/83,ジュタ,6,11,坂井 瑠星,56,8.4,5,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,2,2026年4月5日,美浦S,中山,2000,1,121.5,58,横山 武史,,34.8,稍重,,4,,2
row_0da83aea2f053e04c9d3,20260628_函館_11,pw01dud002022104813/83,ジュタ,6,11,坂井 瑠星,56,8.4,5,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,3,2026年3月22日,スピカS,中山,1800,3,107.1,58,岩田 康誠,,34.7,良,,3,,2
row_c6c2cd848d3af43bfdc9,20260628_函館_11,pw01dud002022104813/83,ジュタ,6,11,坂井 瑠星,56,8.4,5,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,4,2025年4月20日,皐月賞,中山,2000,12,118,57,坂井 瑠星,,35.5,良,,2,,15
row_d9bff824a5c95b3cfe3c,20260628_函館_11,pw01dud002022104813/83,ジュタ,6,11,坂井 瑠星,56,8.4,5,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,5,2025年3月9日,ディープ記念,中山,2000,10,122.5,,丹内 祐次,,36,稍重,,,,4
row_a1408314d8b0e197c8f1,20260628_函館_11,pw01dud002022105073/4A,エコロディノス,7,12,池添 謙一,57,7.5,3,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,1,2026年4月5日,大阪杯,阪神,2000,15,128.4,58,池添 謙一,,45.4,良,,13,,6
row_0a79e8858a9f49a20ada,20260628_函館_11,pw01dud002022105073/4A,エコロディノス,7,12,池添 謙一,57,7.5,3,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,2,2026年2月15日,京都記念,京都,2200,3,133,56,池添 謙一,,34,良,,3,,3
row_627da9b8d0f49cc987b7,20260628_函館_11,pw01dud002022105073/4A,エコロディノス,7,12,池添 謙一,57,7.5,3,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,3,2025年12月14日,オリオンS,阪神,2200,1,131.6,56,池添 謙一,,35,良,,2,,2
row_5a883153c09667ff90f1,20260628_函館_11,pw01dud002022105073/4A,エコロディノス,7,12,池添 謙一,57,7.5,3,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,4,2025年11月1日,北野特別,京都,2000,1,119.5,56,池添 謙一,,34.2,良,,1,,1
row_449131e5cbe314ca7d60,20260628_函館_11,pw01dud002022105073/4A,エコロディノス,7,12,池添 謙一,57,7.5,3,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,5,2025年9月14日,能勢特別,阪神,2000,3,121.5,,J.モレイラ,,36,良,,,,1
row_513ffd710896f79a206d,20260628_函館_11,pw01dud002022105175/61,フィーリウス,8,14,丹内 祐次,56,6,1,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,1,2026年3月22日,スピカS,中山,1800,1,106.7,58,津村 明秀,,34.5,良,,2,,3
row_1e8f4022aec378591b5a,20260628_函館_11,pw01dud002022105175/61,フィーリウス,8,14,丹内 祐次,56,6,1,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,2,2026年1月18日,2勝クラス,中山,2200,1,134.5,57,丹内 祐次,,33.8,良,,4,,5
row_2435a0cee119bea4a544,20260628_函館_11,pw01dud002022105175/61,フィーリウス,8,14,丹内 祐次,56,6,1,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,3,2025年12月28日,グッドラック,中山,2500,4,153.9,55,T.マーカンド,,36.4,良,,1,,3
row_e51eac1fb01de82e4cf6,20260628_函館_11,pw01dud002022105175/61,フィーリウス,8,14,丹内 祐次,56,6,1,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,4,2025年12月7日,2勝クラス,中山,2500,2,150.9,56,T.マーカンド,,34.2,良,,4,,1
row_4f0766ddca2a66df3cf2,20260628_函館_11,pw01dud002022105175/61,フィーリウス,8,14,丹内 祐次,56,6,1,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,5,2026年1月18日,4歳上2勝クラス,中山,2200,1,134.5,,丹内 祐次,,36,良,,,,5
row_cecb531496ee0e9e0649,20260628_函館_11,pw01dud002022106633/1F,バルナバ,1,1,斎藤 新,55,20.9,11,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,1,2026年4月12日,福島民報杯,福島,2000,9,119,57,斎藤 新,,35.2,良,,7,,2
row_1a4085c344441eef2b84,20260628_函館_11,pw01dud002022106633/1F,バルナバ,1,1,斎藤 新,55,20.9,11,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,2,2026年3月1日,関門橋S,小倉,2000,1,120.3,57,斎藤 新,,35.9,良,,4,,2
row_ea2a5b079161d003d043,20260628_函館_11,pw01dud002022106633/1F,バルナバ,1,1,斎藤 新,55,20.9,11,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,3,2026年2月1日,八坂S,京都,2200,4,134.1,57,佐々木 大輔,,33.3,良,,7,,5
row_7d6b29510a130ea9505b,20260628_函館_11,pw01dud002022106633/1F,バルナバ,1,1,斎藤 新,55,20.9,11,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,4,2025年12月14日,一宮特別,中京,2200,1,134,56,斎藤 新,,34.7,稍重,,3,,3
row_5d9062aeaa9bee355dd4,20260628_函館_11,pw01dud002022106633/1F,バルナバ,1,1,斎藤 新,55,20.9,11,函館,2026-06-28,11,芝,2000,晴,良,2026-06-28T03:33:33.607012+00:00,,5,2025年11月22日,高湯温泉特別,福島,1800,1,108.5,,佐々木 大輔,,36,良,,,,8
