race_id,bet_type,combination,odds,odds_min,odds_max,captured_at,source_cname
20260607_東京_11,sanrenpuku,1-11-15,780.2,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-11-16,296.2,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-11-17,107.2,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-12-13,4381.8,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-12-14,1505.3,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-12-15,12042.5,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-12-16,4823.7,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-12-17,1688.3,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-13-14,58.2,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-13-15,926.3,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-13-16,254.4,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-13-17,109.0,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-14-15,199.9,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-14-16,47.0,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-14-17,18.0,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-15-16,701.1,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-15-17,252.8,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,1-16-17,52.6,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-3-4,7653.6,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-3-5,9784.5,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-3-6,4934.3,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-3-7,7722.3,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-3-8,9567.1,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-3-9,6172.3,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-3-10,11329.4,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-3-11,10189.8,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-3-12,14350.6,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-3-13,21000.9,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-3-14,5155.9,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-3-15,24254.6,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-3-16,13559.6,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-3-17,7086.7,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-4-5,7792.2,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-4-6,3913.8,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-4-7,7145.5,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-4-8,7296.9,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-4-9,6806.6,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-4-10,12300.5,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-4-11,12389.0,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-4-12,17938.3,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-4-13,17753.4,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-4-14,3396.6,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-4-15,31310.5,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-4-16,6700.7,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-4-17,3656.2,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-5-6,6753.2,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-5-7,8084.8,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-5-8,9954.2,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-5-9,9674.6,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-5-10,13667.3,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-5-11,18320.0,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-5-12,14718.6,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-5-13,29187.8,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-5-14,8319.2,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-5-15,25702.7,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-5-16,31890.3,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-5-17,11958.8,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-6-7,5432.4,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-6-8,5537.2,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-6-9,3719.3,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-6-10,9410.2,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-6-11,6473.9,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-6-12,11404.5,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-6-13,11404.5,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-6-14,1952.4,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
20260607_東京_11,sanrenpuku,2-6-15,12947.9,,,2026-06-22T23:45:56.648446+00:00,pw157ouS305202603021120260607Z99/B2
